minute,visible_orders,accepted,scheduled,rejected,routed,travel_minutes,travel_cost,revenue,master_solver,routing_solver
0,2,1,1,0,1,10.09,24.22,138.0,gurobi,gurobi
1,1,0,1,0,0,0,0.0,0,gurobi,empty
2,1,0,1,0,0,0,0.0,0,gurobi,empty
3,1,0,1,0,0,0,0.0,0,gurobi,empty
4,1,0,1,0,0,0,0.0,0,gurobi,empty
5,3,0,3,0,0,0,0.0,0,gurobi,empty
6,3,0,3,0,0,0,0.0,0,gurobi,empty
7,3,0,3,0,0,0,0.0,0,gurobi,empty
8,3,0,3,0,0,0,0.0,0,gurobi,empty
9,3,0,3,0,0,0,0.0,0,gurobi,empty
10,6,1,5,0,1,5.48,13.15,111.0,gurobi,gurobi
11,5,0,5,0,0,0,0.0,0,gurobi,empty
12,5,0,5,0,0,0,0.0,0,gurobi,empty
13,5,0,5,0,0,0,0.0,0,gurobi,empty
14,5,0,5,0,0,0,0.0,0,gurobi,empty
15,7,1,6,0,1,13.24,31.78,138.0,gurobi,gurobi
16,6,0,6,0,0,0,0.0,0,gurobi,empty
17,6,0,6,0,0,0,0.0,0,gurobi,empty
18,6,0,6,0,0,0,0.0,0,gurobi,empty
19,6,0,6,0,0,0,0.0,0,gurobi,empty
20,11,1,10,0,1,5.72,13.73,138.0,gurobi,gurobi
21,10,0,10,0,0,0,0.0,0,gurobi,empty
22,10,0,10,0,0,0,0.0,0,gurobi,empty
23,10,0,10,0,0,0,0.0,0,gurobi,empty
24,10,0,10,0,0,0,0.0,0,gurobi,empty
25,14,1,13,0,1,14.37,34.49,62.4,gurobi,gurobi
26,13,0,13,0,0,0,0.0,0,gurobi,empty
27,13,0,13,0,0,0,0.0,0,gurobi,empty
28,13,0,13,0,0,0,0.0,0,gurobi,empty
29,13,0,13,0,0,0,0.0,0,gurobi,empty
30,16,2,14,0,2,23.47,56.33,173.4,gurobi,gurobi
31,14,0,14,0,0,0,0.0,0,gurobi,empty
32,14,0,14,0,0,0,0.0,0,gurobi,empty
33,14,0,14,0,0,0,0.0,0,gurobi,empty
34,14,0,14,0,0,0,0.0,0,gurobi,empty
35,17,1,16,0,1,9.2,22.08,62.4,gurobi,gurobi
36,16,0,16,0,0,0,0.0,0,gurobi,empty
37,16,0,16,0,0,0,0.0,0,gurobi,empty
38,16,0,16,0,0,0,0.0,0,gurobi,empty
39,16,0,16,0,0,0,0.0,0,gurobi,empty
40,18,2,16,0,2,22.58,54.19,270.6,gurobi,gurobi
41,16,0,16,0,0,0,0.0,0,gurobi,empty
42,16,0,16,0,0,0,0.0,0,gurobi,empty
43,16,0,16,0,0,0,0.0,0,gurobi,empty
44,16,0,16,0,0,0,0.0,0,gurobi,empty
45,19,1,18,0,1,15.64,37.54,183.0,gurobi,gurobi
46,18,0,18,0,0,0,0.0,0,gurobi,empty
47,18,0,18,0,0,0,0.0,0,gurobi,empty
48,18,0,18,0,0,0,0.0,0,gurobi,empty
49,18,0,18,0,0,0,0.0,0,gurobi,empty
50,19,0,19,0,0,0,0.0,0,gurobi,empty
51,19,0,19,0,0,0,0.0,0,gurobi,empty
52,19,0,19,0,0,0,0.0,0,gurobi,empty
53,19,0,19,0,0,0,0.0,0,gurobi,empty
54,19,0,19,0,0,0,0.0,0,gurobi,empty
55,21,0,21,0,0,0,0.0,0,gurobi,empty
56,21,0,21,0,0,0,0.0,0,gurobi,empty
57,21,0,21,0,0,0,0.0,0,gurobi,empty
58,21,0,21,0,0,0,0.0,0,gurobi,empty
59,21,0,21,0,0,0,0.0,0,gurobi,empty
60,21,0,21,0,0,0,0.0,0,gurobi,empty
61,21,0,21,0,0,0,0.0,0,gurobi,empty
62,21,0,21,0,0,0,0.0,0,gurobi,empty
63,21,0,21,0,0,0,0.0,0,gurobi,empty
64,21,0,21,0,0,0,0.0,0,gurobi,empty
65,23,1,22,0,1,17.51,42.02,87.6,gurobi,gurobi
66,22,0,22,0,0,0,0.0,0,gurobi,empty
67,22,0,22,0,0,0,0.0,0,gurobi,empty
68,22,0,22,0,0,0,0.0,0,gurobi,empty
69,22,0,22,0,0,0,0.0,0,gurobi,empty
70,26,1,23,2,1,12.33,29.59,111.0,gurobi,gurobi
71,23,0,23,0,0,0,0.0,0,gurobi,empty
72,23,0,23,0,0,0,0.0,0,gurobi,empty
73,23,0,23,0,0,0,0.0,0,gurobi,empty
74,23,0,23,0,0,0,0.0,0,gurobi,empty
75,24,1,23,0,1,5.88,14.11,87.6,gurobi,gurobi
76,23,0,23,0,0,0,0.0,0,gurobi,empty
77,23,0,23,0,0,0,0.0,0,gurobi,empty
78,23,0,23,0,0,0,0.0,0,gurobi,empty
79,23,0,23,0,0,0,0.0,0,gurobi,empty
80,23,0,23,0,0,0,0.0,0,gurobi,empty
81,23,0,23,0,0,0,0.0,0,gurobi,empty
82,23,0,23,0,0,0,0.0,0,gurobi,empty
83,23,0,23,0,0,0,0.0,0,gurobi,empty
84,23,0,23,0,0,0,0.0,0,gurobi,empty
85,25,1,23,1,1,14.67,35.21,183.0,gurobi,gurobi
86,23,0,23,0,0,0,0.0,0,gurobi,empty
87,23,0,23,0,0,0,0.0,0,gurobi,empty
88,23,0,23,0,0,0,0.0,0,gurobi,empty
89,23,0,23,0,0,0,0.0,0,gurobi,empty
90,23,0,23,0,0,0,0.0,0,gurobi,empty
91,23,0,23,0,0,0,0.0,0,gurobi,empty
92,23,0,23,0,0,0,0.0,0,gurobi,empty
